Arc,Start onChapter,TotalChapters,TotalPages,Manga%,Start onEpisode,TotalEpisodes,TotalMinutes(avg 24),Anime%,Anime  Name,Release Year,
Prologue — Land of Waves Arc,1,33,627,4.60%,1,19,456,2.60%,Naruto,2002,
Ch?nin Exams Arc,34,82,1558,11.50%,20,48,1152,6.70%,Naruto,2003,
Konoha Crush Arc,116,23,437,3.20%,68,13,312,1.80%,Naruto,2003,
Search for Tsunade Arc,139,33,627,4.60%,81,20,480,2.80%,Naruto,2004,
Land of Tea Escort Mission Arc,0,0,0,0.00%,101,6,144,0.80%,Naruto,2004,
Sasuke Recovery Mission Arc,172,67,1273,9.40%,107,29,696,4.00%,Naruto,2005,
Filler Arcs ,0,0,0,0.00%,136,85,2040,11.80%,Naruto,2005,
Kakashi Gaiden Arc,239,6,114,0.80%,0,0,0,0.00%,Naruto,2005,
Special,700,1,19,0.10%,119,17,408,2.40%,Naruto,2005,
Kazekage Rescue Mission Arc,245,37,703,5.20%,1,32,768,4.40%,Naruto,2007,
Tenchi Bridge Reconnaissance Mission Arc,282,29,551,4.10%,33,21,504,2.90%,Naruto,2008,
Twelve Guardian Ninja Arc,0,0,0,0.00%,54,18,432,2.50%,Naruto,2008,
Akatsuki Suppression Mission Arc,311,32,608,4.50%,72,17,408,2.40%,Naruto,2009,
Three-Tails' Appearance Arc,0,0,0,0.00%,89,24,576,3.30%,Naruto,2009,
Itachi Pursuit Mission Arc,343,25,475,3.50%,113,12,288,1.70%,Naruto,2009,
Tale of Jiraiya the Gallant Arc,368,16,304,2.30%,127,7,168,1.00%,Naruto,2010,
Fated Battle Between Brothers Arc,384,29,551,4.10%,134,10,240,1.40%,Naruto,2010,
Six-Tails Unleashed Arc,0,0,0,0.00%,144,8,192,1.10%,Naruto,2010,
Pain's Assault Arc,413,41,779,5.80%,152,22,528,3.10%,Naruto,2010,
Past Arc: The Locus of Konoha Arc,0,0,0,0.00%,176,21,504,2.90%,Naruto,2010,
Five Kage Summit Arc,454,30,570,4.20%,197,18,432,2.50%,Naruto,2011,
Fourth Shinobi World War: Countdown Arc,484,32,608,4.50%,215,22,528,3.10%,Naruto,2011,
Paradise Life on a Boat Arc,0,0,0,0.00%,223,20,480,2.80%,Naruto,2011,
Fourth Shinobi World War: Confrontation Arc,516,44,836,6.20%,261,53,1272,7.40%,Naruto,2011,
Power Arc,0,0,0,0.00%,290,6,144,0.80%,Naruto,2011,
Fourth Shinobi World War: Climax Arc,560,80,1520,11.30%,322,41,984,5.70%,Naruto,2012,
Kakashi's Anbu Arc: The Shinobi That Lives in the Darkness Arc,0,0,0,0.00%,349,13,312,1.80%,Naruto,2014,
Birth of the Ten-Tails' Jinch?riki Arc,640,38,722,5.40%,378,30,720,4.20%,Naruto,2014,
In Naruto's Footsteps: The Friends' Paths Arc,0,0,0,0.00%,394,20,480,2.80%,Naruto,2015,
Jiraiya Shinobi Handbook: The Tale of Naruto the Hero Arc,0,0,0,0.00%,432,19,456,2.60%,Naruto,2016,
Kaguya ?tsutsuki Strikes Arc,678,22,418,3.10%,451,23,552,3.00%,Naruto,2016,
Itachi Shinden Book: Light and Darkness Arc,0,0,0,0.00%,452,5,120,0.70%,Naruto,2016,
Childhood Arc,0,0,0,0.00%,480,4,96,0.60%,Naruto,2016,
Sasuke Shinden: Book of Sunrise Arc,0,0,0,0.00%,484,5,120,0.70%,Naruto,2017,
Shikamaru Hiden: A Cloud Drifting in Silent Darkness Arc,0,0,0,0.00%,489,5,120,0.70%,Naruto,2017,
Konoha Hiden: The Perfect Day for a Wedding Arc,0,0,0,0.00%,494,7,168,1.00%,Naruto,2017,
The Seventh Hokage and the Scarlet Spring Arc,700.1,10,190,1.40%,0,0,0,0.00%,Naruto,2017,
